time,.name,.pose,.twist
1970/01/01/09:00:08.540000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00252058060742
  y: -0.00866621678437
  z: 0.381524284186
orientation: 
  x: -0.00155967821776
  y: 0.000339152698014
  z: 0.0401948277094
  w: 0.999190586527]",[]
1970/01/01/09:00:08.550000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00252058060742
  y: -0.00866621678437
  z: 0.381524284186
orientation: 
  x: -0.00155967821776
  y: 0.000339152698014
  z: 0.0401948277094
  w: 0.999190586527]",[]
1970/01/01/09:00:08.560000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00268583499307
  y: -0.00772330384336
  z: 0.381608818683
orientation: 
  x: -0.00330944119718
  y: 0.000363564920839
  z: 0.0434844829337
  w: 0.999048554958]",[]
1970/01/01/09:00:08.570000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00268583499307
  y: -0.00772330384336
  z: 0.381608818683
orientation: 
  x: -0.00330944119718
  y: 0.000363564920839
  z: 0.0434844829337
  w: 0.999048554958]",[]
1970/01/01/09:00:08.580000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00268583499307
  y: -0.00772330384336
  z: 0.381608818683
orientation: 
  x: -0.00330944119718
  y: 0.000363564920839
  z: 0.0434844829337
  w: 0.999048554958]",[]
1970/01/01/09:00:08.590000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00268583499307
  y: -0.00772330384336
  z: 0.381608818683
orientation: 
  x: -0.00330944119718
  y: 0.000363564920839
  z: 0.0434844829337
  w: 0.999048554958]",[]
1970/01/01/09:00:08.600000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00295433342218
  y: -0.0076527977673
  z: 0.381629724726
orientation: 
  x: -0.0036822055924
  y: 0.000380669526979
  z: 0.0474258132053
  w: 0.998867903526]",[]
1970/01/01/09:00:08.610000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00295433342218
  y: -0.0076527977673
  z: 0.381629724726
orientation: 
  x: -0.0036822055924
  y: 0.000380669526979
  z: 0.0474258132053
  w: 0.998867903526]",[]
1970/01/01/09:00:08.610000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00295433342218
  y: -0.0076527977673
  z: 0.381629724726
orientation: 
  x: -0.0036822055924
  y: 0.000380669526979
  z: 0.0474258132053
  w: 0.998867903526]",[]
1970/01/01/09:00:08.630000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00302600913107
  y: -0.00794956554938
  z: 0.381614746551
orientation: 
  x: -0.00318797089129
  y: 0.000413631433022
  z: 0.0465394975212
  w: 0.998911277803]",[]
1970/01/01/09:00:08.640000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00302600913107
  y: -0.00794956554938
  z: 0.381614746551
orientation: 
  x: -0.00318797089129
  y: 0.000413631433022
  z: 0.0465394975212
  w: 0.998911277803]",[]
1970/01/01/09:00:08.640000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00302600913107
  y: -0.00794956554938
  z: 0.381614746551
orientation: 
  x: -0.00318797089129
  y: 0.000413631433022
  z: 0.0465394975212
  w: 0.998911277803]",[]
1970/01/01/09:00:08.660000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00302600913107
  y: -0.00794956554938
  z: 0.381614746551
orientation: 
  x: -0.00318797089129
  y: 0.000413631433022
  z: 0.0465394975212
  w: 0.998911277803]",[]
1970/01/01/09:00:08.670000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00302600913107
  y: -0.00794956554938
  z: 0.381614746551
orientation: 
  x: -0.00318797089129
  y: 0.000413631433022
  z: 0.0465394975212
  w: 0.998911277803]",[]
1970/01/01/09:00:08.680000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00302600913107
  y: -0.00794956554938
  z: 0.381614746551
orientation: 
  x: -0.00318797089129
  y: 0.000413631433022
  z: 0.0465394975212
  w: 0.998911277803]",[]
